time,usage,type
2024-06-06 11:48:01,use,ACTIVITY_PAUSED
2024-06-06 11:48:01,use,ACTIVITY_RESUMED
2024-06-06 11:48:02,use,ACTIVITY_STOPPED
2024-06-06 11:48:03,use,ACTIVITY_PAUSED
2024-06-06 11:48:03,use,ACTIVITY_RESUMED
2024-06-06 11:48:03,use,CONFIGURATION_CHANGE
2024-06-06 11:48:04,use,ACTIVITY_STOPPED
2024-06-06 11:48:08,use,NOTIFICATION_SEEN
2024-06-06 11:48:08,use,NOTIFICATION_SEEN
2024-06-06 11:48:19,use,ACTIVITY_PAUSED
2024-06-06 11:48:19,use,ACTIVITY_RESUMED
2024-06-06 11:48:19,use,CONFIGURATION_CHANGE
2024-06-06 11:48:19,use,ACTIVITY_STOPPED
2024-06-06 11:48:31,off,SCREEN_NON_INTERACTIVE
2024-06-06 11:48:31,off,ACTIVITY_PAUSED
2024-06-06 11:48:31,off,ACTIVITY_STOPPED
2024-06-06 11:48:31,on,KEYGUARD_SHOWN
2024-06-06 11:49:08,on,ACTIVITY_RESUMED
2024-06-06 11:49:08,use,SCREEN_INTERACTIVE
2024-06-06 11:49:08,use,NOTIFICATION_SEEN
2024-06-06 11:49:08,use,KEYGUARD_HIDDEN
2024-06-06 11:49:11,use,ACTIVITY_PAUSED
2024-06-06 11:49:11,use,ACTIVITY_RESUMED
2024-06-06 11:49:11,use,CONFIGURATION_CHANGE
2024-06-06 11:49:11,use,ACTIVITY_STOPPED
2024-06-06 11:49:13,off,SCREEN_NON_INTERACTIVE
2024-06-06 11:49:13,off,ACTIVITY_PAUSED
2024-06-06 11:49:13,off,ACTIVITY_STOPPED
2024-06-06 11:49:13,on,KEYGUARD_SHOWN
2024-06-06 11:49:13,on,CONFIGURATION_CHANGE
2024-06-06 11:49:15,on,ACTIVITY_RESUMED
2024-06-06 11:49:15,use,SCREEN_INTERACTIVE
2024-06-06 11:49:15,use,KEYGUARD_HIDDEN
2024-06-06 11:49:15,use,CONFIGURATION_CHANGE
