dateTime,BandAccX,BandAccY,BandAccZ,X,Y,Z,Type,altitude,course,hacc,latitude,longitude,speed,rate,rateZone,usage,deviceStatus
2024-06-06 12:07:45.790,,,,0.370289,3.768696,9.369696,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:45.802,,,,8.868751,-22.125,-41.100002,MagneticField,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:45.810,,,,0.328415,3.387639,9.652048,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:45.830,,,,0.438485,3.469593,9.281759,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:45.850,,,,0.71007,3.650251,8.581859,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:45.862,,,,8.925,-22.21875,-40.96875,MagneticField,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:45.870,,,,0.927817,3.45404,8.648857,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:45.890,,,,0.615554,3.719643,9.030513,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:45.910,,,,0.722034,3.852444,9.175279,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:45.922,,,,8.64375,-22.293751,-41.006252,MagneticField,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:45.930,,,,0.735195,3.444468,9.156136,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:45.950,,,,0.560519,3.734,9.33141,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:45.966,,,,-128.3601,-21.669911,-3.731807,Orientation,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:45.970,,,,0.333201,3.912265,9.27817,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:45.982,,,,8.55,-22.40625,-40.96875,MagneticField,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:45.990,,,,0.559322,3.482753,9.166903,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.000,,,,,,,Position,80.159,0.0,7.249,52.334694,4.861722,0.0,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.010,,,,0.708874,3.589234,9.482158,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.030,,,,0.576072,3.600002,9.697512,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.042,,,,8.587501,-22.612501,-40.443752,MagneticField,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.050,,,,0.766301,3.495914,9.460623,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.070,,,,0.981655,3.406781,9.110672,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.090,,,,0.885943,3.378067,9.089137,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.102,,,,8.325001,-22.706251,-40.40625,MagneticField,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.110,,,,0.695713,3.446861,9.229117,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.130,,,,0.731606,3.511467,9.299706,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.150,,,,0.956531,3.445665,9.324232,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.162,,,,8.19375,-22.762501,-40.181252,MagneticField,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.165,,,,-127.625459,-20.488566,-5.426799,Orientation,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.170,,,,1.004387,3.471986,9.26142,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.190,,,,1.067797,3.456432,8.87139,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.210,,,,1.140778,3.498307,9.055637,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.222,,,,7.9875,-22.81875,-40.5,MagneticField,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.230,,,,0.912264,3.51386,9.103494,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.250,,,,0.984048,3.549752,9.129815,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.270,,,,1.041476,3.643072,9.144172,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.282,,,,7.66875,-22.668751,-40.875,MagneticField,,,,,,,,,on,KEYGUARD_SHOWN
2024-06-06 12:07:46.290,,,,1.091725,3.725625,8.955139,Acceleration,,,,,,,,,on,KEYGUARD_SHOWN
