dateTime,BandAccX,BandAccY,BandAccZ,X,Y,Z,Type,altitude,course,hacc,latitude,longitude,speed,rate,rateZone,usage,deviceStatus
2024-06-06 11:47:48.119,,,,-1.235295,3.519842,9.710672,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.139,,,,-0.867996,3.047858,9.491729,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.159,,,,-0.727418,3.414558,8.780462,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.179,,,,-0.992423,3.378067,9.165708,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.199,,,,-1.124028,3.315854,9.995419,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.219,,,,-1.00678,3.463611,10.097114,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.239,,,,-0.573081,3.491128,9.401999,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.259,,,,0.005982,3.493521,8.668,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.279,,,,0.377468,3.455236,9.162118,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.299,,,,0.198604,3.463611,10.089935,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.319,,,,-0.293121,3.407978,10.056436,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.339,,,,-0.51326,3.48395,9.302098,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.359,,,,-0.205783,3.360121,9.116654,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.379,,,,-0.435494,3.302693,9.176475,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.399,,,,-0.594616,3.393621,9.308679,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.417,,,,24.075001,-14.212501,-37.181252,MagneticField,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.419,,,,-0.329013,3.512664,9.023335,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.439,,,,-0.190229,3.570091,8.959925,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.457,,,,-73.374694,-19.222971,3.365617,Orientation,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.459,,,,-0.053839,3.663411,9.056833,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.477,,,,23.793751,-13.556251,-37.40625,MagneticField,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.479,,,,0.179462,3.74716,9.144172,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.499,,,,0.388235,3.706482,9.141779,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.519,,,,0.61675,3.632305,9.122637,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.537,,,,23.4375,-12.993751,-37.481251,MagneticField,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.539,,,,0.602393,3.609573,9.442677,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.559,,,,0.665803,3.548556,9.320642,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.579,,,,0.6,3.540181,9.023335,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.597,,,,22.96875,-12.450001,-37.275002,MagneticField,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.599,,,,0.304487,3.631108,8.970692,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.619,,,,0.196211,3.598805,9.141779,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.639,,,,0.250648,3.507878,9.18126,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.657,,,,22.44375,-12.262501,-37.368752,MagneticField,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.657,,,,-69.253269,-21.080047,1.903133,Orientation,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.659,,,,0.39661,3.503092,8.926425,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.679,,,,0.53659,3.536592,8.725428,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.699,,,,0.64666,3.756732,8.811569,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.717,,,,21.825001,-11.962501,-37.5,MagneticField,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.719,,,,0.88355,3.71725,8.852247,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.739,,,,0.956531,3.480361,8.717052,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.759,,,,1.010369,3.658626,8.597412,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.777,,,,21.13125,-11.681251,-37.800003,MagneticField,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.779,,,,0.713659,3.85723,8.769695,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.799,,,,0.573679,3.777071,8.596215,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.819,,,,0.406182,4.085745,8.490932,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.837,,,,20.418751,-11.45625,-38.0625,MagneticField,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.839,,,,-0.270389,4.517051,8.742178,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.842,,,,-0.031292,-0.13955,-0.346743,AngularVelocity,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.857,,,,-68.518279,-22.032242,-2.066817,Orientation,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.859,,,,-0.815354,5.356932,8.740981,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.879,,,,-1.265205,5.702096,8.669196,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.897,,,,19.650002,-11.493751,-38.831253,MagneticField,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.899,,,,-1.107279,5.520242,9.145369,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.919,,,,-0.760918,5.015954,9.608977,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.939,,,,-0.37328,4.617549,9.527621,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.957,,,,19.425001,-11.681251,-39.112503,MagneticField,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.959,,,,-0.133998,4.617549,8.980264,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.979,,,,-0.078963,4.505087,8.967103,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:48.999,,,,-0.199801,4.581657,8.979067,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:49.000,,,,,,,,,,,,,,80.0,0.42,use,ACTIVITY_PAUSED
2024-06-06 11:47:49.017,,,,19.275002,-12.0375,-39.225002,MagneticField,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:49.019,,,,-0.387637,4.776672,8.68475,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:49.039,,,,-0.428315,4.829314,8.328219,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:49.057,,,,-67.676089,-26.366441,0.190537,Orientation,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:49.059,,,,-0.392423,4.746762,8.330612,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:49.077,,,,19.3125,-12.618751,-39.150002,MagneticField,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:49.079,,,,-0.282353,4.604389,8.669196,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:49.099,,,,-0.185444,4.494319,9.095119,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:49.119,,,,-0.034696,4.512265,8.987442,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:49.137,,,,19.5,-13.106251,-39.1875,MagneticField,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:49.139,,,,0.270987,4.380062,8.362915,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:49.159,,,,0.25663,4.55414,8.266006,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:49.179,,,,0.026321,4.674977,8.622537,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:49.197,,,,19.856251,-13.650001,-39.037502,MagneticField,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:49.199,,,,0.083749,4.459623,8.931211,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:49.219,,,,0.373879,4.079762,8.902496,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
2024-06-06 11:47:49.239,,,,0.360718,4.181458,8.928818,Acceleration,,,,,,,,,use,ACTIVITY_PAUSED
