Epochs: 400, Batch size: 256, Learning rate: 1e-07, Weight decay:, 1e-06, Accuracy: 0.31070588235294117, F1 Score: 0.19937167349177803
Epochs: 400, Batch size: 256, Learning rate: 1e-07, Weight decay:, 9.999999999999999e-06, Accuracy: 0.2948235294117647, F1 Score: 0.1597586177242093
Epochs: 400, Batch size: 256, Learning rate: 1e-07, Weight decay:, 9.999999999999999e-05, Accuracy: 0.34552941176470586, F1 Score: 0.2687649978105386
Epochs: 400, Batch size: 256, Learning rate: 1e-07, Weight decay:, 0.001, Accuracy: 0.28105882352941175, F1 Score: 0.12471483683139385
Epochs: 400, Batch size: 256, Learning rate: 1e-07, Weight decay:, 0.01, Accuracy: 0.28, F1 Score: 0.12250000000000003
Epochs: 400, Batch size: 256, Learning rate: 1e-07, Weight decay:, 0.09999999999999999, Accuracy: 0.3598823529411765, F1 Score: 0.3027227264821859
Epochs: 400, Batch size: 256, Learning rate: 1e-06, Weight decay:, 1e-06, Accuracy: 0.2801176470588235, F1 Score: 0.21895656320408177
Epochs: 400, Batch size: 256, Learning rate: 1e-06, Weight decay:, 9.999999999999999e-06, Accuracy: 0.3595294117647059, F1 Score: 0.367547815017554
Epochs: 400, Batch size: 256, Learning rate: 1e-06, Weight decay:, 9.999999999999999e-05, Accuracy: 0.32588235294117646, F1 Score: 0.25274421691061094
Epochs: 400, Batch size: 256, Learning rate: 1e-06, Weight decay:, 0.001, Accuracy: 0.15, F1 Score: 0.0770646926346513
Epochs: 400, Batch size: 256, Learning rate: 1e-06, Weight decay:, 0.01, Accuracy: 0.28905882352941176, F1 Score: 0.1458562405495412
Epochs: 400, Batch size: 256, Learning rate: 1e-06, Weight decay:, 0.09999999999999999, Accuracy: 0.3543529411764706, F1 Score: 0.2745073708548942
Epochs: 400, Batch size: 256, Learning rate: 9.999999999999999e-06, Weight decay:, 1e-06, Accuracy: 0.3352941176470588, F1 Score: 0.3489861240457907
Epochs: 400, Batch size: 256, Learning rate: 9.999999999999999e-06, Weight decay:, 9.999999999999999e-06, Accuracy: 0.2596470588235294, F1 Score: 0.25570698988160534
Epochs: 400, Batch size: 256, Learning rate: 9.999999999999999e-06, Weight decay:, 9.999999999999999e-05, Accuracy: 0.29564705882352943, F1 Score: 0.3176824226534198
Epochs: 400, Batch size: 256, Learning rate: 9.999999999999999e-06, Weight decay:, 0.001, Accuracy: 0.30270588235294116, F1 Score: 0.34083941335132983
Epochs: 400, Batch size: 256, Learning rate: 9.999999999999999e-06, Weight decay:, 0.01, Accuracy: 0.19305882352941175, F1 Score: 0.16954129041856408
Epochs: 400, Batch size: 256, Learning rate: 9.999999999999999e-06, Weight decay:, 0.09999999999999999, Accuracy: 0.28152941176470586, F1 Score: 0.12953941091674234
