dateTime,rate,rateZone
06.06.2024 12:31:34,110,57%
06.06.2024 12:31:33,110,57%
06.06.2024 12:31:27,109,57%
06.06.2024 12:31:19,110,57%
06.06.2024 12:31:16,112,58%
06.06.2024 12:31:09,112,58%
06.06.2024 12:31:04,111,58%
06.06.2024 12:31:03,110,57%
06.06.2024 12:30:54,110,57%
06.06.2024 12:30:45,108,56%
06.06.2024 12:30:39,107,56%
06.06.2024 12:30:34,107,56%
06.06.2024 12:30:28,109,57%
06.06.2024 12:30:19,109,57%
06.06.2024 12:30:17,109,57%
06.06.2024 12:30:12,108,56%
06.06.2024 12:30:04,108,56%
06.06.2024 12:29:59,110,57%
06.06.2024 12:29:54,110,57%
06.06.2024 12:29:49,111,58%
06.06.2024 12:29:46,111,58%
06.06.2024 12:29:41,112,58%
06.06.2024 12:29:34,111,58%
06.06.2024 12:29:29,111,58%
06.06.2024 12:29:24,113,59%
06.06.2024 12:29:19,114,60%
06.06.2024 12:29:13,114,60%
06.06.2024 12:29:04,112,58%
06.06.2024 12:29:00,112,58%
06.06.2024 12:28:54,113,59%
06.06.2024 12:28:49,114,60%
06.06.2024 12:28:39,113,59%
06.06.2024 12:28:34,114,60%
06.06.2024 12:28:32,110,57%
06.06.2024 12:28:25,111,58%
06.06.2024 12:28:19,111,58%
06.06.2024 12:28:10,111,58%
06.06.2024 12:28:04,113,59%
06.06.2024 12:27:58,114,60%
06.06.2024 12:27:49,112,58%
06.06.2024 12:27:45,112,58%
06.06.2024 12:27:40,115,60%
06.06.2024 12:27:34,118,62%
06.06.2024 12:27:32,117,61%
06.06.2024 12:27:27,118,62%
06.06.2024 12:27:19,118,62%
06.06.2024 12:27:12,116,61%
06.06.2024 12:27:04,113,59%
06.06.2024 12:26:59,116,61%
06.06.2024 12:26:54,117,61%
06.06.2024 12:26:49,120,63%
06.06.2024 12:26:46,122,64%
06.06.2024 12:26:41,127,66%
06.06.2024 12:26:34,129,67%
06.06.2024 12:26:30,130,68%
06.06.2024 12:26:24,128,67%
06.06.2024 12:26:19,127,66%
06.06.2024 12:26:15,128,67%
06.06.2024 12:26:09,130,68%
06.06.2024 12:26:04,132,69%
06.06.2024 12:26:02,133,70%
06.06.2024 12:25:55,134,70%
06.06.2024 12:25:49,136,71%
06.06.2024 12:25:46,136,71%
06.06.2024 12:25:40,138,72%
06.06.2024 12:25:34,137,72%
06.06.2024 12:25:33,138,72%
06.06.2024 12:25:28,139,73%
06.06.2024 12:25:19,140,73%
06.06.2024 12:25:15,144,75%
06.06.2024 12:25:09,145,76%
06.06.2024 12:25:01,140,73%
06.06.2024 12:24:56,140,73%
06.06.2024 12:24:49,140,73%
06.06.2024 12:24:44,140,73%
06.06.2024 12:24:39,138,72%
06.06.2024 12:24:34,139,73%
06.06.2024 12:24:32,140,73%
06.06.2024 12:24:26,141,74%
06.06.2024 12:24:19,141,74%
06.06.2024 12:24:10,139,73%
06.06.2024 12:24:04,140,73%
06.06.2024 12:23:56,140,73%
06.06.2024 12:23:49,136,71%
06.06.2024 12:23:46,137,72%
06.06.2024 12:23:40,138,72%
06.06.2024 12:23:34,142,74%
06.06.2024 12:23:31,142,74%
06.06.2024 12:23:25,143,75%
06.06.2024 12:23:19,140,73%
06.06.2024 12:23:16,138,72%
06.06.2024 12:23:09,139,73%
06.06.2024 12:23:04,142,74%
06.06.2024 12:22:55,142,74%
06.06.2024 12:22:49,146,76%
06.06.2024 12:22:43,147,77%
06.06.2024 12:22:34,147,77%
06.06.2024 12:22:30,146,76%
06.06.2024 12:22:24,144,75%
06.06.2024 12:22:19,142,74%
06.06.2024 12:22:12,143,75%
06.06.2024 12:22:04,140,73%
06.06.2024 12:22:03,140,73%
06.06.2024 12:21:55,140,73%
06.06.2024 12:21:49,145,76%
06.06.2024 12:21:41,147,77%
06.06.2024 12:21:34,149,78%
06.06.2024 12:21:29,146,76%
06.06.2024 12:21:24,148,77%
06.06.2024 12:21:19,147,77%
06.06.2024 12:21:15,149,78%
06.06.2024 12:21:09,151,79%
06.06.2024 12:21:04,151,79%
06.06.2024 12:20:58,150,78%
06.06.2024 12:20:49,150,78%
06.06.2024 12:20:47,150,78%
06.06.2024 12:20:39,149,78%
06.06.2024 12:20:34,144,75%
06.06.2024 12:20:32,146,76%
06.06.2024 12:20:26,148,77%
06.06.2024 12:20:19,147,77%
06.06.2024 12:20:15,147,77%
06.06.2024 12:20:09,147,77%
06.06.2024 12:20:04,158,83%
06.06.2024 12:20:00,156,82%
06.06.2024 12:19:55,157,82%
06.06.2024 12:19:49,130,68%
06.06.2024 12:19:46,125,65%
06.06.2024 12:19:39,127,66%
06.06.2024 12:19:34,125,65%
06.06.2024 12:19:31,125,65%
06.06.2024 12:19:25,123,64%
06.06.2024 12:19:19,120,63%
06.06.2024 12:19:14,119,62%
06.06.2024 12:19:09,111,58%
06.06.2024 12:19:04,108,56%
06.06.2024 12:18:59,103,54%
06.06.2024 12:18:54,101,53%
06.06.2024 12:18:49,96,50%
06.06.2024 12:18:47,90,47%
06.06.2024 12:18:39,86,45%
06.06.2024 12:18:34,87,45%
06.06.2024 12:18:30,85,44%
06.06.2024 12:18:25,82,43%
06.06.2024 12:18:19,87,45%
06.06.2024 12:18:15,90,47%
06.06.2024 12:18:10,94,49%
06.06.2024 12:18:04,95,50%
06.06.2024 12:18:01,96,50%
06.06.2024 12:17:54,98,51%
06.06.2024 12:17:49,103,54%
06.06.2024 12:17:48,104,54%
06.06.2024 12:17:40,103,54%
06.06.2024 12:17:34,101,53%
06.06.2024 12:17:28,102,53%
06.06.2024 12:17:19,104,54%
06.06.2024 12:17:16,104,54%
06.06.2024 12:17:10,106,55%
06.06.2024 12:17:04,104,54%
06.06.2024 12:17:02,105,55%
06.06.2024 12:16:54,104,54%
06.06.2024 12:16:49,110,57%
06.06.2024 12:16:45,106,55%
06.06.2024 12:16:40,105,55%
06.06.2024 12:16:34,105,55%
06.06.2024 12:16:32,104,54%
06.06.2024 12:16:26,103,54%
06.06.2024 12:16:19,102,53%
06.06.2024 12:16:15,99,52%
06.06.2024 12:16:09,97,51%
06.06.2024 12:16:04,96,50%
06.06.2024 12:15:59,97,51%
06.06.2024 12:15:49,98,51%
06.06.2024 12:15:47,98,51%
06.06.2024 12:15:40,100,52%
06.06.2024 12:15:34,103,54%
06.06.2024 12:15:30,103,54%
06.06.2024 12:15:24,103,54%
06.06.2024 12:15:18,102,53%
06.06.2024 12:15:09,102,53%
06.06.2024 12:15:04,106,55%
06.06.2024 12:14:58,104,54%
06.06.2024 12:14:49,106,55%
06.06.2024 12:14:46,106,55%
06.06.2024 12:14:39,108,56%
06.06.2024 12:14:34,108,56%
06.06.2024 12:14:32,107,56%
06.06.2024 12:14:26,108,56%
06.06.2024 12:14:19,108,56%
06.06.2024 12:14:16,108,56%
06.06.2024 12:14:11,109,57%
06.06.2024 12:14:04,107,56%
06.06.2024 12:13:58,108,56%
06.06.2024 12:13:49,110,57%
06.06.2024 12:13:45,110,57%
06.06.2024 12:13:39,117,61%
06.06.2024 12:13:33,119,62%
06.06.2024 12:13:26,118,62%
06.06.2024 12:13:19,120,63%
06.06.2024 12:13:15,120,63%
06.06.2024 12:13:09,121,63%
06.06.2024 12:13:04,121,63%
06.06.2024 12:13:03,120,63%
06.06.2024 12:12:54,120,63%
06.06.2024 12:12:49,119,62%
06.06.2024 12:12:47,118,62%
06.06.2024 12:12:41,120,63%
06.06.2024 12:12:34,122,64%
06.06.2024 12:12:31,124,65%
06.06.2024 12:12:25,125,65%
06.06.2024 12:12:19,128,67%
06.06.2024 12:12:09,128,67%
06.06.2024 12:12:04,132,69%
06.06.2024 12:12:03,135,71%
06.06.2024 12:11:55,136,71%
06.06.2024 12:11:49,138,72%
06.06.2024 12:11:46,138,72%
06.06.2024 12:11:40,137,72%
06.06.2024 12:11:34,140,73%
06.06.2024 12:11:29,141,74%
06.06.2024 12:11:24,145,76%
06.06.2024 12:11:19,145,76%
06.06.2024 12:11:17,147,77%
06.06.2024 12:11:09,149,78%
06.06.2024 12:11:04,159,83%
06.06.2024 12:11:00,155,81%
06.06.2024 12:10:54,154,81%
06.06.2024 12:10:49,163,85%
06.06.2024 12:10:45,161,84%
06.06.2024 12:10:40,166,87%
06.06.2024 12:10:34,168,88%
06.06.2024 12:10:32,169,88%
06.06.2024 12:10:25,162,85%
06.06.2024 12:10:19,159,83%
06.06.2024 12:10:12,159,83%
06.06.2024 12:10:04,157,82%
06.06.2024 12:10:01,157,82%
06.06.2024 12:09:54,155,81%
06.06.2024 12:09:49,152,80%
06.06.2024 12:09:46,152,80%
06.06.2024 12:09:40,148,77%
06.06.2024 12:09:34,146,76%
06.06.2024 12:09:24,146,76%
06.06.2024 12:09:19,140,73%
06.06.2024 12:09:15,137,72%
06.06.2024 12:09:09,137,72%
06.06.2024 12:09:04,136,71%
06.06.2024 12:09:02,136,71%
06.06.2024 12:08:54,137,72%
06.06.2024 12:08:49,135,71%
06.06.2024 12:08:45,133,70%
06.06.2024 12:08:40,131,68%
06.06.2024 12:08:34,132,69%
06.06.2024 12:08:30,131,68%
06.06.2024 12:08:24,128,67%
06.06.2024 12:08:19,125,65%
06.06.2024 12:08:16,124,65%
06.06.2024 12:08:11,114,60%
06.06.2024 12:08:04,108,56%
06.06.2024 12:08:01,105,55%
06.06.2024 12:07:54,99,52%
06.06.2024 12:07:49,98,51%
06.06.2024 12:07:45,97,51%
06.06.2024 12:07:39,99,52%
06.06.2024 12:07:34,96,50%
06.06.2024 12:07:31,93,48%
06.06.2024 12:07:24,91,47%
06.06.2024 12:07:19,91,47%
06.06.2024 12:07:18,91,47%
06.06.2024 12:07:10,91,47%
06.06.2024 12:07:04,87,45%
06.06.2024 12:07:03,88,46%
06.06.2024 12:06:58,89,46%
06.06.2024 12:06:49,95,50%
06.06.2024 12:06:48,98,51%
06.06.2024 12:06:41,99,52%
06.06.2024 12:06:34,103,54%
06.06.2024 12:06:28,103,54%
06.06.2024 12:06:19,104,54%
06.06.2024 12:06:10,106,55%
06.06.2024 12:06:04,107,56%
06.06.2024 12:06:00,108,56%
06.06.2024 12:05:55,108,56%
06.06.2024 12:05:49,109,57%
06.06.2024 12:05:44,112,58%
06.06.2024 12:05:39,121,63%
06.06.2024 12:05:34,122,64%
06.06.2024 12:05:31,123,64%
06.06.2024 12:05:24,123,64%
06.06.2024 12:05:19,128,67%
06.06.2024 12:05:13,133,70%
06.06.2024 12:05:04,133,70%
06.06.2024 12:04:59,132,69%
06.06.2024 12:04:54,132,69%
06.06.2024 12:04:49,131,68%
06.06.2024 12:04:47,130,68%
06.06.2024 12:04:41,129,67%
06.06.2024 12:04:34,132,69%
06.06.2024 12:04:25,132,69%
06.06.2024 12:04:19,128,67%
06.06.2024 12:04:11,129,67%
06.06.2024 12:04:04,132,69%
06.06.2024 12:04:01,133,70%
06.06.2024 12:03:55,131,68%
06.06.2024 12:03:49,131,68%
06.06.2024 12:03:42,131,68%
06.06.2024 12:03:34,129,67%
06.06.2024 12:03:32,129,67%
06.06.2024 12:03:24,130,68%
06.06.2024 12:03:19,131,68%
06.06.2024 12:03:16,132,69%
06.06.2024 12:03:11,132,69%
06.06.2024 12:03:04,131,68%
06.06.2024 12:03:00,130,68%
06.06.2024 12:02:54,128,67%
06.06.2024 12:02:49,128,67%
06.06.2024 12:02:43,127,66%
06.06.2024 12:02:34,126,66%
06.06.2024 12:02:30,126,66%
06.06.2024 12:02:25,128,67%
06.06.2024 12:02:19,125,65%
06.06.2024 12:02:09,123,64%
06.06.2024 12:02:04,125,65%
06.06.2024 12:01:59,125,65%
06.06.2024 12:01:49,125,65%
06.06.2024 12:01:48,125,65%
06.06.2024 12:01:42,124,65%
06.06.2024 12:01:34,123,64%
06.06.2024 12:01:31,123,64%
06.06.2024 12:01:26,122,64%
06.06.2024 12:01:19,119,62%
06.06.2024 12:01:13,119,62%
06.06.2024 12:01:04,118,62%
06.06.2024 12:01:02,118,62%
06.06.2024 12:00:54,118,62%
06.06.2024 12:00:49,118,62%
06.06.2024 12:00:42,118,62%
